Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	15	15	0.252855	1.40462	0.0800667	0.423413	LPCAT3(1.24119); PLA2G12A(0.84774); PLA2G2E(0.745969); PLA2G4F(0.700533); PLA2G5(0.67789); PLA2G4A(0.394557); PLA2G10(-0.178164); LPCAT4(-1.24043); PLA2G1B(-1.325); PLA2G16(-1.36403); PLA2G2F(-1.36403); PLA2G2D(-1.39172); PLA2G2A(-1.40217); PLA2G4D(-1.6123); MBOAT1(-1.80766); 
REACTOME_GAB1_SIGNALOSOME	38	35	1.37593	1.40485	0.0800326	0.423413	CHUK(3.17987); TRIB3(1.95437); CDKN1A(1.73696); MTOR(1.54258); GAB1(1.22831); AKT2(1.19447); CDKN1B(1.13406); PIK3CA(1.00295); FOXO1(0.861968); AKT3(0.697771); PDPK1(-0.178164); GSK3A(-0.874211); RPS6KB2(-1.18207); BAD(-1.18207); AKT1(-1.22623); MLST8(-1.22623); AKT1S1(-1.35796); NR4A1(-1.36921); TSC2(-1.36921); MDM2(-1.3739); CSK(-1.39431); PTEN(-1.40608); CREB1(-1.41056); THEM4(-1.41301); SRC(-1.41301); GRB2(-1.48062); CASP9(-1.51207); EGF(-1.63224); PIK3R1(-1.6468); FOXO3(-1.65627); RICTOR(-1.73248); MAPKAP1(-1.82512); PHLPP1(-1.86603); PAG1(-2.0075); EGFR(-2.10053); 
REACTOME_GLUCONEOGENESIS	34	29	0.378144	1.41292	0.0788396	0.423413	PRKACG(1.68229); PRKACB(1.64951); GAPDH(1.62846); FBP1(1.47799); FBP2(1.34128); ALDOB(1.19159); GAPDHS(1.09822); PCK1(0.566007); TPI1(-0.949317); ALDOC(-1.00775); PRKACA(-1.13887); SLC25A10(-1.16173); ALDOA(-1.16173); ENO2(-1.18207); PCK2(-1.3148); SLC25A11(-1.3148); PGAM1(-1.33446); MDH2(-1.34313); MDH1(-1.35796); ENO3(-1.35796); PGAM2(-1.36403); ENO1(-1.38209); PC(-1.39663); GOT2(-1.39663); GPI(-1.3987); SLC25A1(-1.41393); GOT1(-1.42616); SLC25A12(-1.45684); SLC25A13(-1.63714); 
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	168	162	2.31846	1.40873	0.0794571	0.423413	PPARG(2.87305); ACADS(2.83611); ACSL1(2.68925); DGAT1(2.63443); AGPAT1(2.52822); LPIN3(2.43508); HSD17B12(2.38831); PLIN2(2.33916); TRIB3(1.95437); CTGF(1.94062); AGPAT6(1.80458); ALAS1(1.74132); FADS1(1.7277); AGPAT3(1.69789); WWTR1(1.65549); GRHL1(1.5387); AGPAT9(1.53466); MED27(1.47477); RORA(1.17864); ARNTL(1.06388); ACADVL(1.02554); MED13L(1.01838); BDH1(1.01599); SREBF1(0.975347); MED30(0.948092); GPAM(0.92423); MED10(0.91663); ACACA(0.849921); ACACB(0.790893); TNFRSF21(0.759792); ELOVL5(0.75512); NCOA6(0.746226); NFYA(0.73271); LCLAT1(0.703129); NPAS2(0.533072); TEAD1(0.474809); TIAM2(0.417456); PRKAG2(0.376024); ABCA1(0.260449); NCOR2(0.234012); PCCA(0.095281); GPAT2(-1.09373); CYP1A1(-1.12031); ANGPTL4(-1.15185); ELOVL3(-1.16173); ESRRA(-1.16173); MED18(-1.16173); ELOVL1(-1.17098); ECI1(-1.17098); APOA1(-1.19667); HMGCL(-1.19667); MED19(-1.21163); SLC25A20(-1.22623); MED8(-1.22623); NR1D1(-1.22623); AGPAT2(-1.24043); LPCAT4(-1.24043); ACADL(-1.25419); FASN(-1.25419); ECHS1(-1.26745); MED20(-1.26745); MED29(-1.26745); MED1(-1.26745); GPD1(-1.28019); MED11(-1.28019); MED16(-1.28019); G0S2(-1.29236); SIN3A(-1.29236); CYP4A11(-1.29236); MED22(-1.3148); ACAT1(-1.34313); TEAD2(-1.34313); MED17(-1.35098); MED9(-1.35098); MED25(-1.36403); ACOX1(-1.36921); APOA5(-1.37819); TECR(-1.37819); NFYB(-1.38563); DGAT2(-1.38563); CPT2(-1.38563); SULT2A1(-1.38563); SLC27A1(-1.38563); SIN3B(-1.38883); HDAC3(-1.39172); ANKRD1(-1.39172); CPT1B(-1.39172); MED24(-1.39172); MED26(-1.39431); APOA2(-1.3987); CYP7A1(-1.3987); CREBBP(-1.3987); PRKAB2(-1.40054); HMGCR(-1.40217); MED7(-1.40608); HMGCS1(-1.40608); HADHB(-1.40711); MED21(-1.40806); MED23(-1.40893); PEX11A(-1.40893); ACLY(-1.40893); SMARCD3(-1.41056); EP300(-1.41056); HADHA(-1.41056); CCNC(-1.41135); TEAD3(-1.41135); MED4(-1.41216); PCCB(-1.41393); SLC25A1(-1.41393); PRKAA2(-1.41493); MUT(-1.41727); GLIPR1(-1.41865); MCEE(-1.41865); FABP1(-1.42395); MED31(-1.42395); SREBF2(-1.42863); ELOVL2(-1.42863); MED6(-1.43992); ACADM(-1.45323); ACSL5(-1.45684); ELOVL4(-1.45684); CPT1A(-1.46438); HMGCS2(-1.47232); OXCT1(-1.47232); TGS1(-1.47642); DECR1(-1.48489); RXRA(-1.50275); HADH(-1.52161); PPARA(-1.52161); NCOR1(-1.52161); ABCB4(-1.52646); ACSL3(-1.53627); ACSL6(-1.54124); FDFT1(-1.54124); ELOVL7(-1.54623); LPIN2(-1.56646); LPCAT1(-1.58177); FHL2(-1.59708); YAP1(-1.60217); MED15(-1.60724); TEAD4(-1.63224); TBL1XR1(-1.64199); GPD1L(-1.65156); AGT(-1.66549); NCOA3(-1.67883); TXNRD1(-1.68734); GPD2(-1.70703); CDK19(-1.71432); PPARGC1A(-1.72159); NRF1(-1.73611); LPIN1(-1.73611); CD36(-1.75779); AGPAT5(-1.76498); CLOCK(-1.77573); ELOVL6(-1.77931); NCOA1(-1.79354); ME1(-1.90516); CDK8(-1.97906); NCOA2(-2.00254); PPARGC1B(-2.01476); AGPAT4(-2.02634); UGT1A9(-2.14843); 
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	83	75	1.17876	1.41336	0.0787745	0.423413	CHUK(3.17987); AGER(2.37428); RPS6KA5(2.02731); MAPKAPK3(1.82754); NFKB2(1.52606); FOS(1.29267); S100A12(1.19045); S100B(1.16372); TMEM189-UBE2V1(1.12368); APP(1.10077); HMGB1(1.05796); RPS6KA2(1.00827); RELA(0.980934); TLR1(0.977726); MAP3K1(0.915015); RPS6KA1(0.726121); CDK1(0.678244); MAP2K4(0.641192); MAP2K6(0.344964); MAP3K7(0.341001); MAPK10(0.0635777); MAPK3(-1.09373); MAPK11(-1.15185); MAPK7(-1.15185); SIGIRR(-1.15185); MYD88(-1.18207); MAP2K7(-1.19667); PELI3(-1.21163); UBA52(-1.22623); ECSIT(-1.22623); JUN(-1.24043); DUSP7(-1.29236); SAA1(-1.30391); PPP2R1B(-1.33446); UBE2N(-1.33446); DUSP3(-1.33446); NFKBIA(-1.33446); NFKBIB(-1.35098); RPS27A(-1.35796); PPP2CB(-1.3739); PPP2R5D(-1.38563); DUSP6(-1.39172); MAP2K3(-1.39431); PPP2CA(-1.3987); TAB1(-1.3987); MAP2K2(-1.3987); TRAF6(-1.40054); DUSP4(-1.40363); TLR2(-1.40608); ATF1(-1.40608); IKBKB(-1.40893); CREB1(-1.41056); NOD2(-1.41056); TIRAP(-1.41301); TLR6(-1.42616); TLR4(-1.43125); RIPK2(-1.4369); LY96(-1.4369); MAPKAPK2(-1.44307); PELI1(-1.44307); IRAK3(-1.46056); IRAK2(-1.46438); IRAK4(-1.47232); MAPK9(-1.51681); NOD1(-1.51681); MAPK14(-1.52646); MAP2K1(-1.55126); PPP2R1A(-1.55631); MAPK1(-1.57666); MEF2A(-1.59199); MAPK8(-1.60217); ATF2(-1.63224); MEF2C(-1.73611); TAB2(-1.83204); PELI2(-2.14921); 
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	16	13	1.56137	1.41214	0.0789537	0.423413	CFB(2.6194); C2(2.52344); C4A(1.05108); C3(1.0188); CFD(-1.21163); C1S(-1.325); MASP2(-1.33446); CRP(-1.39431); C1QA(-1.40492); C1QC(-1.41135); C1QB(-1.41393); MBL2(-1.59708); MASP1(-1.84236); 
BIOCARTA_LECTIN_PATHWAY	12	12	2.2396	1.37652	0.0843306	0.427111	C2(2.52344); C4B(1.05108); C4A(1.05108); C3(1.0188); C5(0.685908); MASP2(-1.33446); C8A(-1.53135); C9(-1.54623); MBL2(-1.59708); C7(-1.74696); MASP1(-1.84236); C6(-1.9391); 
BIOCARTA_TOLL_PATHWAY	37	33	0.628853	1.3734	0.0848143	0.427111	CHUK(3.17987); NFKB1(1.89483); TLR9(1.78254); FOS(1.29267); RELA(0.980934); TLR10(0.951604); MAP3K1(0.915015); MAP2K4(0.641192); MAP2K6(0.344964); MAP3K7(0.341001); MYD88(-1.18207); ECSIT(-1.22623); JUN(-1.24043); TOLLIP(-1.30391); CD14(-1.325); PGLYRP1(-1.33446); NFKBIA(-1.33446); TLR3(-1.38563); MAP2K3(-1.39431); TAB1(-1.3987); TRAF6(-1.40054); TLR2(-1.40608); MAP3K14(-1.40711); IKBKB(-1.40893); TIRAP(-1.41301); EIF2AK2(-1.41393); TLR6(-1.42616); TLR4(-1.43125); LY96(-1.4369); PPARA(-1.52161); MAPK14(-1.52646); MAPK8(-1.60217); TAB2(-1.83204); 
PID_AR_PATHWAY	61	58	1.55314	1.38144	0.0835725	0.427111	CDKN2A(3.29108); ZMIZ1(2.52211); CDK6(2.03404); KLK3(1.78573); KLK2(1.77869); ZNF318(1.38417); TMPRSS2(1.23957); VAV3(1.11182); CCND1(1.05514); PTK2B(0.814508); NCOA6(0.746226); SNURF(0.694888); HIP1(0.629786); TCF4(0.424273); KDM4C(0.0161934); SVIL(0.0105606); HNRNPA1(-1.05664); TGFB1I1(-1.16173); PIAS3(-1.21163); AKT1(-1.22623); CTDSP1(-1.24043); PIAS4(-1.24043); PA2G4(-1.25419); PRDX1(-1.25419); NCOA4(-1.26745); MED1(-1.26745); PATZ1(-1.26745); CARM1(-1.26745); SRF(-1.28019); FKBP4(-1.3148); CTDSP2(-1.325); XRCC6(-1.325); KDM1A(-1.34313); PELP1(-1.35098); CMTM2(-1.3739); APPL1(-1.38563); UBE2I(-1.3987); KDM3A(-1.40217); TMF1(-1.40363); UBA3(-1.40608); PRKDC(-1.40608); PAWR(-1.41056); CTNNB1(-1.41135); BRCA1(-1.41493); NKX3-1(-1.41727); TGIF1(-1.41727); PIAS1(-1.42197); RANBP9(-1.42197); MAK(-1.43992); CASP8(-1.44634); LATS2(-1.52646); UBE3A(-1.53135); CCND3(-1.55631); GSN(-1.58177); FHL2(-1.59708); NRIP1(-1.64199); XRCC5(-1.72523); NCOA2(-2.00254); 
REACTOME_PECAM1_INTERACTIONS	10	10	1.01731	1.38042	0.083729	0.427111	PLCG1(3.15853); PECAM1(0.881976); ITGAV(0.791252); LYN(0.304559); PTPN6(-1.19667); LCK(-1.21163); SRC(-1.41301); YES1(-1.4683); ITGB3(-1.6123); FYN(-2.14604); 
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	100	95	2.03344	1.37744	0.0841875	0.427111	CHUK(3.17987); PLCG1(3.15853); ADCY5(3.01851); ADCY7(2.16637); TRIB3(1.95437); CDKN1A(1.73696); PRKACG(1.68229); PRKACB(1.64951); MTOR(1.54258); FGFR3(1.32645); ADCY2(1.28154); GAB1(1.22831); AKT2(1.19447); PRKAR1A(1.15443); CDKN1B(1.13406); FGF20(1.00414); PIK3CA(1.00295); FOXO1(0.861968); AKT3(0.697771); CDK1(0.678244); ITPR3(0.608323); ADCY8(0.576863); ADCY1(0.469184); FRS2(0.429298); ITPR2(-0.156894); PDPK1(-0.178164); GSK3A(-0.874211); FGF8(-1.05664); MAPK3(-1.09373); ADRBK1(-1.13887); PRKACA(-1.13887); HRAS(-1.13887); FGF22(-1.15185); CALM3(-1.16173); RPS6KB2(-1.18207); BAD(-1.18207); SHC1(-1.21163); AKT1(-1.22623); FGF17(-1.22623); MLST8(-1.22623); PRKCG(-1.26745); FGF19(-1.29236); FGFR4(-1.3148); FRS3(-1.3148); FGF18(-1.33446); PRKAR2A(-1.33446); NRAS(-1.35098); AKT1S1(-1.35796); NR4A1(-1.36921); TSC2(-1.36921); MDM2(-1.3739); ADCY6(-1.3739); FGF4(-1.38209); YWHAB(-1.38883); PRKCD(-1.39431); FGFR1(-1.3987); MAP2K2(-1.3987); PTEN(-1.40608); CALM1(-1.40711); FGF9(-1.40806); CREB1(-1.41056); PDE1B(-1.41056); CALM2(-1.41056); FGF3(-1.41216); FGF6(-1.41216); THEM4(-1.41301); FGF5(-1.434); ADCY4(-1.434); FGF7(-1.45684); GRB2(-1.48062); KLB(-1.48062); FGF23(-1.49818); CASP9(-1.51207); RAF1(-1.51681); KRAS(-1.53627); MAP2K1(-1.55126); MAPK1(-1.57666); FGF2(-1.6123); FGF10(-1.6123); FGFR2(-1.61733); PRKAR2B(-1.64199); PIK3R1(-1.6468); FOXO3(-1.65627); KL(-1.67883); SOS1(-1.69146); RICTOR(-1.73248); ADCY3(-1.75418); MAPKAP1(-1.82512); FGF1(-1.82859); PHLPP1(-1.86603); ADCY9(-1.95957); CAMK4(-2.15074); PDE1A(-2.1995); PRKCA(-2.2394); PRKCE(-2.30333); 
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	65	1.44685	1.36894	0.0855089	0.428232	CHUK(3.17987); PLCG1(3.15853); ATP6V1G2(2.59044); NFKB1(1.89483); ATP6V0E1(1.54559); ATP6V1E1(1.44299); ATP6V0A2(1.25581); GIT1(1.19398); JAM3(1.04796); JAM2(1.02079); RELA(0.980934); MET(0.915634); IGSF5(0.893553); MAP2K4(0.641192); TJP1(0.634694); LYN(0.304559); PLCG2(0.0817116); MAPK10(0.0635777); MAPK11(-1.15185); TCIRG1(-1.19667); CXCR2(-1.21163); ATP6V1F(-1.21163); JUN(-1.24043); ATP6V0A1(-1.24043); MAPK12(-1.25419); ATP6V0D1(-1.26745); CXCR1(-1.29236); ATP6V0B(-1.30391); CCL5(-1.30391); MAPK13(-1.33446); NFKBIA(-1.33446); HBEGF(-1.35796); ATP6V1G1(-1.38209); F11R(-1.38563); ATP6V0E2(-1.38563); CSK(-1.39431); CASP3(-1.39663); PTPN11(-1.3987); IL8(-1.40054); ATP6V1D(-1.40054); CXCL1(-1.40217); ATP6V1A(-1.40608); MAP3K14(-1.40711); ATP6V1G3(-1.40893); IKBKB(-1.40893); ATP6V1B1(-1.40976); ATP6V1B2(-1.41135); SRC(-1.41301); CDC42(-1.41393); RAC1(-1.41393); ADAM17(-1.42616); ATP6V1E2(-1.434); ATP6V1H(-1.45323); MAPK9(-1.51681); NOD1(-1.51681); ATP6V1C2(-1.51681); MAPK14(-1.52646); ATP6V1C1(-1.59199); MAPK8(-1.60217); ATP6V0D2(-1.66549); ADAM10(-1.68734); PAK1(-1.6955); ATP6V0A4(-1.70329); PTPRZ1(-1.83893); EGFR(-2.10053); 
PID_PI3KCI_AKT_PATHWAY	35	34	0.503395	1.36693	0.0858238	0.428232	CHUK(3.17987); CDKN1A(1.73696); MTOR(1.54258); AKT2(1.19447); SLC2A4(1.18848); CDKN1B(1.13406); FOXO1(0.861968); HSP90AA1(0.73904); AKT3(0.697771); GSK3B(0.303311); PDPK1(-0.178164); GSK3A(-0.874211); SFN(-1.12031); PRKACA(-1.13887); BAD(-1.18207); AKT1(-1.22623); MLST8(-1.22623); YWHAB(-1.38883); YWHAZ(-1.39431); YWHAG(-1.40492); PRKDC(-1.40608); YWHAH(-1.40711); SRC(-1.41301); BCL2L1(-1.42197); YWHAQ(-1.42197); KPNA1(-1.4369); YWHAE(-1.48925); CASP9(-1.51207); RAF1(-1.51681); FOXO3(-1.65627); RICTOR(-1.73248); MAPKAP1(-1.82512); MAP3K5(-1.90516); TBC1D4(-2.10656); 
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	15	14	1.69404	1.36442	0.0862173	0.428339	SEMA7A(2.03459); SEMA5A(1.21016); ITGA1(0.898362); PLXND1(0.772161); SEMA6D(0.74001); SEMA6A(0.453762); TYROBP(-0.949317); TREM2(-1.13887); SEMA4A(-1.30391); PLXNA1(-1.37819); ITGB1(-1.56646); PLXNC1(-2.01713); PLXNA2(-2.16193); SEMA3E(-2.16856); 
NABA_PROTEOGLYCANS	35	33	1.1294	1.36318	0.0864134	0.428339	OGN(1.50787); FMOD(1.48681); OMD(1.47568); SRGN(1.29186); ASPN(1.14068); PRG2(1.08289); PRG3(1.07421); SPOCK2(0.798585); SPOCK3(0.625195); SPOCK1(0.421297); VCAN(0.265614); OPTC(-1.00775); PRELP(-1.05664); PODNL1(-1.05664); PRG4(-1.30391); HAPLN2(-1.325); CHAD(-1.325); BCAN(-1.35098); HAPLN4(-1.35796); NCAN(-1.37819); DCN(-1.38883); LUM(-1.40054); CHADL(-1.41056); ESM1(-1.41301); HAPLN3(-1.4369); IMPG2(-1.52161); HAPLN1(-1.52646); EPYC(-1.53135); KERA(-1.61733); HSPG2(-1.67001); PODN(-1.71432); ACAN(-1.72159); IMPG1(-1.74696); 
BIOCARTA_TRKA_PATHWAY	12	12	1.31042	1.35592	0.0875616	0.431578	PLCG1(3.15853); NGF(1.47966); PRKCB(1.18517); PIK3CA(1.00295); HRAS(-1.13887); SHC1(-1.21163); AKT1(-1.22623); NTRK1(-1.47642); GRB2(-1.48062); PIK3R1(-1.6468); SOS1(-1.69146); PRKCA(-2.2394); 
REACTOME_THE_NLRP3_INFLAMMASOME	12	11	0.792997	1.35583	0.0875767	0.431578	P2RX7(1.64015); APP(1.10077); NLRP3(0.892595); PSTPIP1(0.805737); PYCARD(-0.949317); TXNIP(-1.16173); HSP90AB1(-1.28019); MEFV(-1.35098); TXN(-1.41493); CASP1(-1.44972); PANX1(-1.4683); 
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	19	18	0.463291	1.34883	0.0886952	0.433737	ACSL1(2.68925); STRADA(1.3559); PRKAG1(1.19481); ACACB(0.790893); PRKAG2(0.376024); CAB39L(0.257981); PRKAG3(-1.13887); STK11(-1.13887); SLC25A20(-1.22623); PRKAB1(-1.3148); STRADB(-1.33446); CPT2(-1.38563); CPT1B(-1.39172); PRKAB2(-1.40054); PRKAA1(-1.40711); PRKAA2(-1.41493); CAB39(-1.42021); CPT1A(-1.46438); 
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	16	15	3.23428	1.3478	0.088862	0.433737	HLA-DQA1(3.33243); HLA-DRB1(2.50815); CD3D(1.3097); HLA-DQA2(1.29772); CD3G(1.25108); LCK(-1.21163); CSK(-1.39431); CD3E(-1.3987); HLA-DRB3(-1.43125); CD4(-1.44634); PTPRC(-1.75418); CD247(-1.90833); PAG1(-2.0075); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); 
PID_P38_ALPHA_BETA_PATHWAY	31	30	1.30957	1.33899	0.0902872	0.438086	DUSP16(2.95279); MAP3K3(1.85127); PRKG1(1.34157); HCK(0.967836); DUSP8(0.893699); CCM2(0.768594); BLK(0.645994); MAP2K4(0.641192); MAP2K6(0.344964); LYN(0.304559); MAPK11(-1.15185); LCK(-1.21163); FGR(-1.24043); MAP3K12(-1.25419); RIPK1(-1.36921); DUSP1(-1.39431); MAP2K3(-1.39431); TAB1(-1.3987); TRAF6(-1.40054); RALB(-1.40976); SRC(-1.41301); CDC42(-1.41393); RAC1(-1.41393); PAK2(-1.44972); RALA(-1.4683); YES1(-1.4683); DUSP10(-1.52161); MAPK14(-1.52646); PAK1(-1.6955); FYN(-2.14604); 
BIOCARTA_IGF1MTOR_PATHWAY	20	18	-0.201848	1.33422	0.0910662	0.438436	EIF2S2(1.62415); MTOR(1.54258); PIK3CA(1.00295); EIF2B5(0.960921); IGF1R(0.612643); GSK3B(0.303311); PDPK1(-0.178164); AKT1(-1.22623); INPPL1(-1.22623); RPS6(-1.26745); RPS6KB1(-1.38883); PDK2(-1.39663); PPP2CA(-1.3987); EIF2S1(-1.3987); PTEN(-1.40608); EIF4E(-1.42197); IGF1(-1.53135); PIK3R1(-1.6468); 
PID_IL2_STAT5_PATHWAY	30	28	1.77912	1.33499	0.0909395	0.438436	LTA(2.74207); CCND2(2.40194); CDK6(2.03404); STAT5A(1.71981); IL2(1.66625); PIK3CA(1.00295); ELF1(0.887984); BCL2(0.167984); SHC1(-1.21163); LCK(-1.21163); STAT5B(-1.22623); SP1(-1.325); JAK3(-1.35796); FASLG(-1.36921); MYC(-1.38563); CCNA2(-1.39431); PTPN11(-1.3987); PRF1(-1.3987); IL4(-1.40806); BCL2L1(-1.42197); IL2RB(-1.46056); GRB2(-1.48062); CCND3(-1.55631); IL2RA(-1.60217); PIK3R1(-1.6468); SOS1(-1.69146); GAB2(-1.81816); JAK1(-1.84577); 
REACTOME_GLUCOSE_TRANSPORT	38	38	-0.248749	1.33639	0.0907109	0.438436	NUP54(1.94218); SLC2A2(1.74435); NUP133(1.53839); GCK(1.41081); SLC2A4(1.18848); RAE1(1.07541); G6PC(1.04137); G6PC2(1.0286); SLC37A4(0.9493); NUP50(0.83472); NUP210(0.45324); POM121(-0.178164); G6PC3(-1.13887); NUP43(-1.22623); AAAS(-1.22623); SLC2A3(-1.29236); NUP155(-1.30391); NUP85(-1.325); GCKR(-1.33446); NUP37(-1.36403); NUPL1(-1.36921); RANBP2(-1.37819); NUP62(-1.37819); HK3(-1.3987); SEH1L(-1.40363); NUP107(-1.40492); NUP188(-1.40806); NUP214(-1.42395); TPR(-1.434); NUP205(-1.45323); NUPL2(-1.46438); NUP153(-1.4683); NUP88(-1.47642); SLC2A1(-1.50275); NUP93(-1.57156); HK2(-1.68313); NUP35(-1.69944); HK1(-1.88585); 
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	19	19	1.11313	1.32723	0.0922165	0.44059	AKR1D1(1.40116); ACOX2(1.28606); CYP7B1(1.12139); AMACR(0.997794); SLC27A2(0.890108); ABCB11(0.626166); SCP2(0.524645); SLC27A5(-1.17098); HSD3B7(-1.17098); CYP27A1(-1.36403); ACOT8(-1.38883); CYP8B1(-1.39172); CYP7A1(-1.3987); CH25H(-1.40976); CYP46A1(-1.41603); BAAT(-1.42395); HSD17B4(-1.55631); AKR1C4(-1.55631); CYP39A1(-1.77216); 
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	72	65	0.990477	1.32515	0.0925601	0.44059	CHUK(3.17987); AGER(2.37428); RPS6KA5(2.02731); MAPKAPK3(1.82754); NFKB2(1.52606); FOS(1.29267); S100A12(1.19045); S100B(1.16372); APP(1.10077); HMGB1(1.05796); RPS6KA2(1.00827); RELA(0.980934); RPS6KA1(0.726121); CDK1(0.678244); MAP2K4(0.641192); MAP2K6(0.344964); MAP3K7(0.341001); MAPK10(0.0635777); MAPK3(-1.09373); MAPK11(-1.15185); MAPK7(-1.15185); MAP2K7(-1.19667); UBA52(-1.22623); JUN(-1.24043); DUSP7(-1.29236); SAA1(-1.30391); CD14(-1.325); PPP2R1B(-1.33446); DUSP3(-1.33446); NFKBIA(-1.33446); NFKBIB(-1.35098); RPS27A(-1.35796); RIPK1(-1.36921); PPP2CB(-1.3739); TLR3(-1.38563); PPP2R5D(-1.38563); TICAM1(-1.38883); DUSP6(-1.39172); MAP2K3(-1.39431); PPP2CA(-1.3987); TAB1(-1.3987); MAP2K2(-1.3987); TRAF6(-1.40054); DUSP4(-1.40363); ATF1(-1.40608); TICAM2(-1.40806); IKBKB(-1.40893); CREB1(-1.41056); NOD2(-1.41056); TLR4(-1.43125); RIPK2(-1.4369); LY96(-1.4369); MAPKAPK2(-1.44307); IRAK2(-1.46438); MAPK9(-1.51681); NOD1(-1.51681); MAPK14(-1.52646); MAP2K1(-1.55126); PPP2R1A(-1.55631); MAPK1(-1.57666); MEF2A(-1.59199); MAPK8(-1.60217); ATF2(-1.63224); MEF2C(-1.73611); TAB2(-1.83204); 
BIOCARTA_PLATELETAPP_PATHWAY	14	11	1.16432	1.31683	0.0939483	0.440953	PLAU(1.43219); APP(1.10077); COL4A1(0.657043); COL4A2(0.563499); COL4A3(0.562809); F2(-1.325); SERPINE1(-1.39172); PLAT(-1.39663); F11(-1.50275); PLG(-1.52646); COL4A4(-1.95091); 
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29	28	1.70113	1.32251	0.0929998	0.440953	TNF(2.73922); NFKBIL1(2.57648); NFKB1(1.89483); MAP3K3(1.85127); NFKB2(1.52606); MAP2K4(0.641192); MAP3K7(0.341001); TRADD(-1.12031); BIRC3(-1.22623); BAG4(-1.22623); JUN(-1.24043); FADD(-1.25419); NFKBIE(-1.3148); TNFRSF1A(-1.3148); NFKBIA(-1.33446); TNFAIP3(-1.35098); NFKBIB(-1.35098); TONSL(-1.35796); RIPK1(-1.36921); TRAF2(-1.38209); BIRC2(-1.38209); CFLAR(-1.39172); CASP3(-1.39663); NR2C2(-1.41865); TNFRSF1B(-1.41865); CASP8(-1.44634); AGFG1(-1.45684); RALBP1(-1.47642); 
ST_JNK_MAPK_PATHWAY	40	39	1.06897	1.32113	0.0932298	0.440953	MAP3K11(2.32597); MAP3K3(1.85127); TP53(1.84575); GCK(1.41081); MAP3K13(1.3718); GAB1(1.22831); MAP3K10(1.17448); MAP3K1(0.915015); DUSP8(0.893699); MAP2K4(0.641192); PAPPA(0.377269); MAP3K7(0.341001); MAPK10(0.0635777); MAPK7(-1.15185); MAP2K7(-1.19667); SHC1(-1.21163); AKT1(-1.22623); JUN(-1.24043); MAP3K12(-1.25419); TAB1(-1.3987); TRAF6(-1.40054); MAP3K2(-1.40217); DUSP4(-1.40363); NFATC3(-1.40711); GADD45A(-1.40893); CDC42(-1.41393); NR2C2(-1.41865); DLD(-1.42197); MAPK9(-1.51681); DUSP10(-1.52161); IL1R1(-1.55126); MAPK8(-1.60217); ATF2(-1.63224); MAP3K9(-1.73248); TAB2(-1.83204); MAP3K5(-1.90516); ZAK(-1.96242); MAP3K4(-2.0075); MAP2K5(-2.06057); 
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	17	17	0.199162	1.3212	0.0932166	0.440953	FEN1(1.78211); MPG(1.05264); MUTYH(0.98994); POLD2(0.811773); SMUG1(0.78473); POLD3(0.783214); POLD4(-1.15185); OGG1(-1.25419); MBD4(-1.26745); NTHL1(-1.3148); PCNA(-1.35098); POLD1(-1.36921); CCNO(-1.38209); POLB(-1.39663); APEX1(-1.40976); LIG1(-1.54124); TDG(-1.57156); 
